id,date,incident_type,severity,status,description,reported_by,created_at
1,2025-01-04,Phishing,High,Open,"Employee received a suspicious email requesting login credentials.",jdoe,2025-01-04 09:15:22
2,2025-01-05,Malware,Critical,Investigating,"Detected ransomware activity on workstation PC-223.",asmith,2025-01-05 11:42:10
3,2025-01-06,DDoS,Medium,Resolved,"Short-term network slowdown due to external traffic flood.",npatel,2025-01-06 13:08:54
4,2025-01-07,Phishing,Low,Closed,"Attempted phishing email automatically blocked by filters.",jdoe,2025-01-07 08:05:33
5,2025-01-08,Malware,High,Open,"Antivirus detected and quarantined a trojan on laptop LAP-119.",tnguyen,2025-01-08 16:27:49
6,2025-01-09,Unauthorized Access,Critical,Investigating,"Multiple failed login attempts from unknown IP address.",mlopez,2025-01-09 07:55:20
7,2025-01-10,Data Leakage,Medium,Resolved,"Shared folder misconfigured, exposing sensitive documents internally.",kben,2025-01-10 10:33:11
8,2025-01-11,Phishing,High,Open,"Users reported receiving fake HR document links.",jdoe,2025-01-11 14:18:02
9,2025-01-12,DDoS,Critical,Closed,"Extended DDoS attack mitigated through ISP filtering.",asmith,2025-01-12 19:22:40
10,2025-01-13,Malware,Low,Resolved,"False positive malware detection on server due to outdated signature.",npatel,2025-01-13 08:44:57
